Name,Meeting Time,Location,Sponsor,Description,Tags,Contact,Image Path
Wj Selfcare,Meets Fri Weekly during Lunch, Room #134,Phares,"To create a safe place for people to leran, laugh, and let their emotions out. When we meet we will not only educate people on mental health, but provide people with resources such as skin care, hygiene products, and even worout routinues. We will play games, watch movies, and eat any types of snacks.","Arts, Charity/Activism",,images/selfCare.jpg
Poetry club ,Meets Tue Biweekly during Lunch, 134,Phares ,"We want this club to be a space for students who have a passion for writing especially as in poetry form to gather and express themselves as-well guide and inspire them to pour their emotions in their poems, or to help them discover these hidden abilities that they might have presented into fun little gatherings to rise their inspiration and creativity.",Interest,,images/poetry.PNG
Sending Sunshine,Meets Thu Biweekly during Lunch, #200,Roller,Make cards for senior citizens to reduce loneliness among them.,Charity/Activism,,images/sunshine.jpg
Book Lovers Club ,Meets Thu Monthly during Lunch, G22,Gayman,"This club reads books, donates books to organizations and donates supplies to kids in need. We also do bake sales and candy grams throughout the year. ","Interest, Charity/Activism",,images/bookLovers.PNG
Students Exploring Emergency Services,Meets Tue Monthly during Lunch, 254,Frenselli,"Our goal is to bring together people who share an interest in the work of first responders such as EMT's, Paramedics, Firefighters, Law Enforcement, and/or Search & Rescue. ","Interest, Charity/Activism",,images/emergency.jpg
ESOL Board Game Club,Meets Thu Weekly during After School, 121,Won,"Learn English, have fun","Interest, Games/Sports",,images/boardgames.PNG
Gilmore girls Club,Meets Fri Weekly during Lunch, G21,Ryan,"In our club, we love to share our insights of the show! We debate about characters and plot lines. We play fun games that we create, as well as do we replicate Stars Hollow rituals! ",Interest,,images/gilmoreGirls.PNG
WJ Haiku Club ,Meets Thu Weekly during Lunch, #116,Joy ,"Our purpose is to learn about Japanese culture and values through haiku poetry. We write haikus, play trivia related to Japan, and participate in cultural events held at WJ! We strive to be an inclusive club. Everyone is welcome!","Interest, Arts, Culture",,images/haiku.PNG
Persian Club,Meets Thu Monthly during Lunch, G34,Kinani,"Persian Club aims to share the culture of Iran by discussing past and current events, heritage, language, food, and much more.",Culture,,images/persian.jpg
ASL Club ,Meets Mon Biweekly during Lunch, P 7 ,Campbell ,A Club for people that want to communicate with friends in ASL outside of class and want to continue to learn after ASL 2. This club would also be great for people who want to learn ASL or about deaf culture. ,"Interest, Academic",,images/asl.jpg
Fellowship of Christian Athletes,Meets Thu Weekly during Lunch, Room 234,Chase,"The Fellowship of Christian Athletes meets once a week and provides a safe and welcoming place for all students who are interested in exploring, discussing, and sharing their Christian faith. The group comprises of athletes and non-athletes and uses the tool of sports and the Bible to facilitate and fuel these conversations about faith. ",Interest,@wj_fca,images/fca.png
Best Buddies,Meets Tue Biweekly during Other, p13,Brager,"Best Buddies International is a nonprofit 501(c)(3) organization dedicated to establishing a global volunteer movement that creates opportunities for one-to-one friendships, integrated employment, leadership development, and inclusive living for individuals with intellectual and developmental disabilities (IDD).","Arts, Charity/Activism, Games/Sports",,images/buddies.png
Multi-Cultural Club ,Meets Thursdays Biweekly during Lunch, 168,VanCuran,"MCC is a club where all cultures are welcome. We have fun conversations where we compare and contrast our cultural traditions, and identity. You can get to know your peers better at WJ by joining in on these conversations . Join us in room 168 every other Wednesday to have a great conversation about your culture! If you have any questions dm our Insta @mcc.wj","Interest, Charity/Activism, Culture",@mcc.wj,images/multicultural.jpg
STEM4all,Meets Thu Biweekly during Lunch, P13,Brager,"Join us in a non-judgmental environment to explore STEM and meet like-minded peers! We'll delve into different STEM fields, foster STEM appreciation, invite guest speakers, nurture STEM exposure, and engage in fun STEM activities! This is friendly and casual. Everyone is welcome :)","Interest, Charity/Activism, Academic, STEM","wjstem4all
            Discord",images/stem4all.png
South Asian Student Union,Meets Fri Weekly during Lunch, G05,Ponce,"SASU is a cultural club that focuses on the South Asian community here at WJ. We hold big celebrations, perform in cultural showcases and learn about South Asian Culture all while having a great time.","Interest, Charity/Activism, Dance, Culture",,images/sasu.jpg
WJ Link Generations Club,Meets Wed Weekly during Lunch, P15,Fratkin,"The WJ Link Generations Club will work with the Link Generations Organization to provide students with an opportunity to learn about and volunteer with older adults. Wednesday lunch meetings in room P15 will discuss aging, older adults, and plan volunteering sessions. The volunteering sessions will happen at the Grandview Senior Living Center with the executive director and SSL supervisor of Link Generations. ","Interest, Charity/Activism",,images/link.png
Key Club,Meets Thu Biweekly during Lunch, Room 116,Matro,Our purpose is to better the community through sevice and by providing SSL hour opportunities.,Charity/Activism,,images/key.jpg
Chamber for Charity,Meets Thu Weekly during Lunch, Band Room,Butler,"Chamber for Charity is dedicated to improving the lives of those in our communities through music. We gather high school musicians to play at hospitals, nursing homes, and so many other areas around us in need of higher spirits. Our goal is to bring joy to others and demonstrate the power of sound in providing happiness. Making a difference one small step at a time is the only way to create large-scale change. Our love of music can benefit everyone around us. ","Interest, Charity/Activism, Music",,images/CFCflyer.png
WJ Clean the Streets Club,"Meets Mon, Fri Biweekly during Lunch", 229,Fraser,Our purpose is to help protect our environment and clean the community for the people in Montgomery country.,Charity/Activism,,images/clean.PNG
WJ Mock Trial,Meets Mon Weekly during After School, Room 130,Simmons,"WJ Mock Trial aims to provide students with an environment that promotes development of effective public speaking skills, collaboration, and critical thinking. Students learn about both the explicit and nuanced aspects of the courtroom, and they gain the resources and insight necessary to prepare for a successful career in any field.","Competitive, Academic",@mocktrialwj,images/mock.png
WJ Book Club,Meets Mon Monthly during Lunch, G21,Mrs. Ryan,To introduce a love of reading and a community to WJ,Interest,,images/book.png
Small Things Matter ,Meets Tue Biweekly during Lunch, 117,Schwed,"Our clubs purpose is to help families in need in our community. We will work with the Small Things Matter Organization to collect and distribute resources and support for these families. This can include food, clothing and supply drives, volunteer opportunities, charity programs/events, pantry distributions, and much more! Members will have a chance to earn SSL hours and engage in an active role in our community.",Charity/Activism,@wjsmallthingsmatter,images/smallThings.PNG
WJ Habitat for Humanity,Meets Wed Monthly during Lunch, P13 (portable),Brager,"Our club aims to raise money to financially support the Habitat for Humanity charity. With these funds, the non-profit will be able to purchase the materials needed to build safe and affordable homes for families throughout the country.",Charity/Activism,@wjhabitatforhumanity,images/habitat.png
Dear Asian Youth,Meets Tue Biweekly during Lunch, P13 (portable),Zussman,"Dear Asian Youth is a youth-led, global organization that promotes intersectional activism, solidarity with other marginalized communities, and equality and equity. This is just the Walter Johnson chapter of DAY! as a part of the Dear Asian Youth Chapter Program, we seek to celebrate Asian youth through discussion, collaboration, and action, as well as create local change through advocacy and leadership work. ","Charity/Activism, Culture","@wjdearasianyouth, Discord",images/dearAsianYouth.jpg
Bake with Kindness,Meets Tue Biweekly during Lunch, P13 (portable),Brager,"To bake for non-profit organizations, first responders, homeless shelters, and children in low income housing. ","Interest, Charity/Activism","wjbakewithkindness
                    Classroom Code",images/bwk.png
Students of Color Alliance,Meets Thu Biweekly during Lunch, #256,Tseng,"the students of color alliance (SOCA) is a club that explores how communities of color can build coalitions in pursuit of racial solidarity. it is important for communities of color to unite for and against important issues in our society. join SOCA to get involved in advocacy work in the community, earn SSL hours, and build important relationships! ","Charity/Activism, Culture",,images/soca.png
Crochet Club,Meets Mon Weekly during Lunch, G35,Remy,Provide students with the opportunity to learn how to crochet and earn SSL hours from donating crocheted squared and garments to those in need. ,"Interest, Arts, Charity/Activism",@wjcrochetclub,images/crochet.webp
Mahjong Club,Meets Wed Weekly during Lunch, G32,Shu,"The purpose of Mahjong club is to create an opportunity for people to learn the game of Mahjong, and have fun playing it.","Interest, Games/Sports, Culture",,images/majong.jpg
